,,січ.-19,,,,,,,,,,,,
"Month
Місяць",Id_airport,Airport name (Назва аеропорту),Passengers(Пасажиропотік),"Air Transport
Movements( Рейси)",Cancelled movements (Скасовані рейси),"Total Air Transport
Movements Excluding
Cancelled(Загальний рух повітряного транспорту, крім скасованих)",International Terminal Passenger Traffic(Пасажиропотік міжнародних терміналів),Domestic Terminal Passenger Traffic(Пасажиропотік внутрішніх терміналів),Між_план,Між_чартер,Внутр_план,Внутр_чартер,Дохід,Прибуток
June,20,Exeter,982 000,1 466,16,1 450,65 597,40 779,37 329,28 268,40 779,0,"£3 697 000,0","£623 000,0"
June,21,Bournemouth,714 000,531,1,530,88 888,312,63 256,25 632,312,0,"£4 799 000,0","£1 346 000,0"
June,22,Norwich,542 000,1 844,0,1 844,45 017,12 400,17 652,27 365,12 400,0,"£1 468 000,0","£600 000,0"
June,23,Newquay,466 000,986,26,960,12 140,40 413,11 954,186,40 413,0,"£950 000,0","£346 000,0"
June,24,Humberside,202 000,642,30,612,17 892,2 208,11 463,6 429,1 761,447,"£830 000,0","£40 000,0"
July,1,Heathrow,80 721 000,42 599,539,42 060,7 304 678,449 886,7 288 230,16 448,449 886,0,"£219 111 000,0","£30 776 000,0"
July,2,Gatwick,46 602 000,27 775,497,27 278,4 458 164,281 090,4 130 614,327 547,281 018,72,"£62 080 000,0","£6 863 000,0"
July,3,Manchester,29 143 000,19 685,138,19 547,2 951 231,227 383,2 635 605,315 626,227 383,0,"£75 022 000,0","£22 334 000,0"
July,4,Stansted,28 466 000,17 293,77,17 216,2 646 547,111 791,2 600 154,46 393,111 623,168,"£32 021 000,0","£12 003 000,0"
July,5,Luton,17 670 000,10 867,106,10 761,1 698 529,109 228,1 664 139,34 390,109 228,0,"£20 034,0","£4 689,0"
July,6,Edinburgh,14 748 000,12 205,140,12 065,1 031 206,475 045,999 981,31 225,474 924,121,"£18 877 000,0","£8 978 000,0"
July,7,Birmingham,12 674 000,10 267,115,10 152,1 227 810,125 740,1 039 658,188 152,125 506,234,"£14 101 000,0","£3 012 000,0"
July,8,Bristol,8 873 000,6 455,52,6 403,849 779,122 640,752 343,97 436,122 290,350,"£9 538 000,0","£2 783 000,0"
July,9,Glasgow,9 184 000,7 954,169,7 785,621 961,344 654,205 879,65 082,344 410,244,"£15 108 000,0","£3 199 000,0"
July,10,Belfast International,6 471 000,4 441,1,4 440,315 756,323 579,254 841,60 915,323 500,79,"£5 794,0","£2 699,0"
July,11,Newcastle,5 270 000,4 187,42,4 145,495 651,104 465,495 035,616,104 165,0,"£2 856 000,0","£786 000,0"
July,12,Liverpool,5 077 000,3 332,22,3 310,415 474,79 803,413 874,2 140,79 756,47,"£3 609 000,0","£1 323 000,0"
